"SHOP","JTCODE","IMG","LEN","JLBH","INX"
"SHOP000024","E024000090","temp\001190111101837001544.jpg",30,1,1
"SHOP000024","E024000163","temp\001180710141012000029.jpg",30,2,1
"SHOP000024","E024000576","temp\001180816103727000055.jpg",30,3,1
"SHOP000024","E024000576","temp\001180816103925000059.jpg",30,4,1
"SHOP000024","E024000591","temp\001180726142918000281.jpg",30,5,1
"SHOP000024","E024000591","temp\001180726143657000292.jpg",30,6,1
"SHOP000024","E024000591","temp\001180726144227000302.jpg",30,7,1
"SHOP000024","E024000930","000024\30\000930\024000930190131144853002018.jpg",48,8,1
"SHOP000024","E024000930","000024\30\000930\024000930190202060804000673.jpg",48,9,1
"SHOP000024","E024000930","000024\30\000930\024000930190202060350000672.jpg",48,10,1
"SHOP000024","E024001083","temp\001180817101658000002.jpg",30,11,1
"SHOP000024","E024001083","temp\001180817102454000009.jpg",30,12,1
"SHOP000024","E024001083","temp\001180817105156000069.jpg",30,13,1
"SHOP000024","E024001083","temp\001180817105406000074.jpg",30,14,1
"SHOP000024","E024001148","temp\001180814150631000048.jpg",30,15,1
"SHOP000024","E024001166","temp\001180801113320000001.jpg",30,16,1
"SHOP000024","E024001166","temp\001180801113706000002.jpg",30,17,1
"SHOP000024","E024002029","temp\001180815124416000237.jpg",30,18,1
"SHOP000024","E024002029","temp\001180815124456000239.jpg",30,19,1
"SHOP000024","E024002029","temp\001180815124436000238.jpg",30,20,1
"SHOP000024","E024002082","temp\001180816110002000099.jpg",30,21,1
"SHOP000024","E024002082","temp\001180816110059000110.jpg",30,22,1
"SHOP000024","E024002142","temp\001180726105144000037.jpg",30,23,1
"SHOP000024","E024002142","temp\001180726105124000035.jpg",30,24,1
"SHOP000024","E024002170","temp\001180726112441000119.jpg",30,25,1
"SHOP000024","E024002170","temp\001180726111438000094.jpg",30,26,1
"SHOP000024","E024002170","temp\001180726111346000091.jpg",30,27,1
"SHOP000024","E024002395","temp\001180728151630000129.jpg",30,28,1
"SHOP000024","E024002395","temp\001180728152108000130.jpg",30,29,1
"SHOP000024","E024002401","temp\001180726105455000047.jpg",30,30,1
"SHOP000024","E024002401","temp\001180726110850000071.jpg",30,31,1
"SHOP000024","E024002401","temp\001180726110854000072.jpg",30,32,1
"SHOP000024","E024002401","temp\001180729105612000001.jpg",30,33,1
"SHOP000024","E024002401","temp\001180729105619000002.jpg",30,34,1
"SHOP000024","E024002401","temp\001180726110001000056.jpg",30,35,1
"SHOP000024","E024002401","temp\001180726105940000055.jpg",30,36,1
"SHOP000024","E024002401","temp\001180729105853000003.jpg",30,37,1
"SHOP000024","E024002401","temp\001180729105911000004.jpg",30,38,1
"SHOP000024","E024002401","temp\001180726105649000054.jpg",30,39,1
